,0
Year,0.0
Quarter,0.0
Month,0.0
DayofMonth,0.0
DayOfWeek,0.0
FlightDate,0.0
Marketing_Airline_Network,0.0
Operated_or_Branded_Code_Share_Partners,0.0
DOT_ID_Marketing_Airline,0.0
IATA_Code_Marketing_Airline,0.0
Flight_Number_Marketing_Airline,0.0
Originally_Scheduled_Code_Share_Airline,1.0
DOT_ID_Originally_Scheduled_Code_Share_Airline,1.0
IATA_Code_Originally_Scheduled_Code_Share_Airline,1.0
Flight_Num_Originally_Scheduled_Code_Share_Airline,1.0
Operating_Airline ,0.0
DOT_ID_Operating_Airline,0.0
IATA_Code_Operating_Airline,0.0
Tail_Number,0.0199
Flight_Number_Operating_Airline,0.0
OriginAirportID,0.0
OriginAirportSeqID,0.0
OriginCityMarketID,0.0
Origin,0.0
OriginCityName,0.0
OriginState,0.0
OriginStateFips,0.0
OriginStateName,0.0
OriginWac,0.0
DestAirportID,0.0
DestAirportSeqID,0.0
DestCityMarketID,0.0
Dest,0.0
DestCityName,0.0
DestState,0.0
DestStateFips,0.0
DestStateName,0.0
DestWac,0.0
CRSDepTime,0.0
DepTime,0.066
DepDelay,0.066
DepDelayMinutes,0.066
DepDel15,0.066
DepartureDelayGroups,0.066
DepTimeBlk,0.0
TaxiOut,0.0667
WheelsOff,0.0667
WheelsOn,0.0671
TaxiIn,0.0671
CRSArrTime,0.0
ArrTime,0.0671
ArrDelay,0.0689
ArrDelayMinutes,0.0689
ArrDel15,0.0689
ArrivalDelayGroups,0.0689
ArrTimeBlk,0.0
Cancelled,0.0
CancellationCode,0.9331
Diverted,0.0
CRSElapsedTime,0.0
ActualElapsedTime,0.0689
AirTime,0.0689
Flights,0.0
Distance,0.0
DistanceGroup,0.0
CarrierDelay,0.8206
WeatherDelay,0.8206
NASDelay,0.8206
SecurityDelay,0.8206
LateAircraftDelay,0.8206
FirstDepTime,0.9948
TotalAddGTime,0.9948
LongestAddGTime,0.9948
DivAirportLandings,0.0
DivReachedDest,0.998
DivActualElapsedTime,0.9982
DivArrDelay,0.9982
DivDistance,0.998
Div1Airport,0.9978
Div1AirportID,0.9978
Div1AirportSeqID,0.9978
Div1WheelsOn,0.9978
Div1TotalGTime,0.9978
Div1LongestGTime,0.9978
Div1WheelsOff,0.9982
Div1TailNum,0.9982
Div2Airport,1.0
Div2AirportID,1.0
Div2AirportSeqID,1.0
Div2WheelsOn,1.0
Div2TotalGTime,1.0
Div2LongestGTime,1.0
Div2WheelsOff,1.0
Div2TailNum,1.0
Div3Airport,1.0
Div3AirportID,1.0
Div3AirportSeqID,1.0
Div3WheelsOn,1.0
Div3TotalGTime,1.0
Div3LongestGTime,1.0
Div3WheelsOff,1.0
Div3TailNum,1.0
Div4Airport,1.0
Div4AirportID,1.0
Div4AirportSeqID,1.0
Div4WheelsOn,1.0
Div4TotalGTime,1.0
Div4LongestGTime,1.0
Div4WheelsOff,1.0
Div4TailNum,1.0
Div5Airport,1.0
Div5AirportID,1.0
Div5AirportSeqID,1.0
Div5WheelsOn,1.0
Div5TotalGTime,1.0
Div5LongestGTime,1.0
Div5WheelsOff,1.0
Div5TailNum,1.0
Duplicate,0.0
